scientific_name,park_name,observations
Camassia quamash,Yellowstone National Park,266
Camassia quamash,Yosemite National Park,160
Camassia quamash ssp. breviflora,Bryce National Park,115
Camassia quamash ssp. breviflora,Great Smoky Mountains National Park,70
Camassia quamash ssp. breviflora,Yellowstone National Park,258
Camassia quamash ssp. breviflora,Yosemite National Park,159
Camassia quamash ssp. quamash,Bryce National Park,120
Camassia quamash ssp. quamash,Great Smoky Mountains National Park,114
Camassia quamash ssp. quamash,Yellowstone National Park,236
Camassia quamash ssp. quamash,Yosemite National Park,142
Camelina microcarpa,Bryce National Park,106
Camelina microcarpa,Great Smoky Mountains National Park,76
Camelina microcarpa,Yellowstone National Park,259
Camelina microcarpa,Yosemite National Park,150
Camelina sativa,Bryce National Park,100
Camelina sativa,Great Smoky Mountains National Park,116
Camelina sativa,Yellowstone National Park,221
Camelina sativa,Yosemite National Park,144
Camissonia breviflora,Bryce National Park,83
Camissonia breviflora,Great Smoky Mountains National Park,37
Camissonia breviflora,Yellowstone National Park,230
Camissonia breviflora,Yosemite National Park,144
Camissonia contorta,Bryce National Park,89
Camissonia contorta,Great Smoky Mountains National Park,64
Camissonia contorta,Yellowstone National Park,261
Camissonia contorta,Yosemite National Park,115
Camissonia lacustris,Bryce National Park,101
Camissonia lacustris,Great Smoky Mountains National Park,85
Camissonia lacustris,Yellowstone National Park,265
Camissonia lacustris,Yosemite National Park,154
Camissonia luciae,Bryce National Park,84
Camissonia luciae,Great Smoky Mountains National Park,58
Camissonia luciae,Yellowstone National Park,224
Camissonia luciae,Yosemite National Park,107
Camissonia sierrae ssp. alticola,Bryce National Park,84
Camissonia sierrae ssp. alticola,Great Smoky Mountains National Park,95
Camissonia sierrae ssp. alticola,Yellowstone National Park,201
Camissonia sierrae ssp. alticola,Yosemite National Park,169
Camissonia sierrae ssp. sierrae,Bryce National Park,111
Camissonia sierrae ssp. sierrae,Great Smoky Mountains National Park,102
Camissonia sierrae ssp. sierrae,Yellowstone National Park,250
Camissonia sierrae ssp. sierrae,Yosemite National Park,136
Camissonia subacaulis,Bryce National Park,103
Camissonia subacaulis,Great Smoky Mountains National Park,113
Camissonia subacaulis,Yellowstone National Park,269
Camissonia subacaulis,Yosemite National Park,149
Campanula aparinoides,Bryce National Park,113
Campanula aparinoides,Great Smoky Mountains National Park,75
Campanula aparinoides,Yellowstone National Park,248
Campanula aparinoides,Yosemite National Park,156
Campanula divaricata,Bryce National Park,72
Campanula divaricata,Great Smoky Mountains National Park,30
Campanula divaricata,Yellowstone National Park,230
Campanula divaricata,Yosemite National Park,137
Campanula rapunculoides,Bryce National Park,80
Campanula rapunculoides,Great Smoky Mountains National Park,83
Campanula rapunculoides,Yellowstone National Park,251
Campanula rapunculoides,Yosemite National Park,155
Campanula rotundifolia,Bryce National Park,122
Campanula rotundifolia,Great Smoky Mountains National Park,67
Campanula rotundifolia,Yellowstone National Park,270
Campanula rotundifolia,Yosemite National Park,129
Campanulastrum americanum,Bryce National Park,95
Campanulastrum americanum,Great Smoky Mountains National Park,35
Campanulastrum americanum,Yellowstone National Park,251
Campanulastrum americanum,Yosemite National Park,158
Campostoma anomalum,Bryce National Park,94
Campostoma anomalum,Great Smoky Mountains National Park,60
Campostoma anomalum,Yellowstone National Park,256
Campostoma anomalum,Yosemite National Park,167
Campostoma oligolepis,Bryce National Park,91
Campostoma oligolepis,Great Smoky Mountains National Park,74
Campostoma oligolepis,Yellowstone National Park,263
Campostoma oligolepis,Yosemite National Park,153
Campsis radicans,Bryce National Park,123
Campsis radicans,Great Smoky Mountains National Park,96
Campsis radicans,Yellowstone National Park,242
Campsis radicans,Yosemite National Park,184
Campylium chrysophyllum,Bryce National Park,99
Campylium chrysophyllum,Great Smoky Mountains National Park,75
Campylium chrysophyllum,Yellowstone National Park,245
Campylium chrysophyllum,Yosemite National Park,120
Campylium hispidulum,Bryce National Park,91
Campylium hispidulum,Great Smoky Mountains National Park,88
Campylium hispidulum,Yellowstone National Park,272
Campylium hispidulum,Yosemite National Park,116
Campylium polygamum,Bryce National Park,62
Campylium polygamum,Great Smoky Mountains National Park,89
Campylium polygamum,Yellowstone National Park,250
Campylium polygamum,Yosemite National Park,132
Campylium radicale,Bryce National Park,63
Campylium radicale,Great Smoky Mountains National Park,60
Campylium radicale,Yellowstone National Park,265
Campylium radicale,Yosemite National Park,151
Campylopus atrovirens,Bryce National Park,100
Campylopus atrovirens,Great Smoky Mountains National Park,75
Campylopus atrovirens,Yellowstone National Park,271
Campylopus atrovirens,Yosemite National Park,114
Campylopus pilifer,Bryce National Park,83
Campylopus pilifer,Great Smoky Mountains National Park,88
Campylopus pilifer,Yellowstone National Park,240
Campylopus pilifer,Yosemite National Park,147
Campylopus tallulensis,Bryce National Park,104
Campylopus tallulensis,Great Smoky Mountains National Park,84
Campylopus tallulensis,Yellowstone National Park,258
Campylopus tallulensis,Yosemite National Park,153
Campylostelium saxicola,Bryce National Park,132
Campylostelium saxicola,Great Smoky Mountains National Park,55
Campylostelium saxicola,Yellowstone National Park,240
Campylostelium saxicola,Yosemite National Park,126
Canis latrans,Bryce National Park,85
Canis latrans,Great Smoky Mountains National Park,68
Canis latrans,Yellowstone National Park,206
Canis latrans,Yosemite National Park,99
Canis lupus,Bryce National Park,43
Canis lupus,Great Smoky Mountains National Park,20
Canis lupus,Yellowstone National Park,110
Canis lupus,Yosemite National Park,65
Canis rufus,Bryce National Park,30
Canis rufus,Great Smoky Mountains National Park,13
Canis rufus,Yellowstone National Park,60
Canis rufus,Yosemite National Park,34
Cannabis sativa,Bryce National Park,114
Cannabis sativa,Great Smoky Mountains National Park,67
Cannabis sativa,Yellowstone National Park,250
Cannabis sativa,Yosemite National Park,149
Caprimulgus carolinensis,Bryce National Park,103
Caprimulgus carolinensis,Great Smoky Mountains National Park,95
Caprimulgus carolinensis,Yellowstone National Park,291
Caprimulgus carolinensis,Yosemite National Park,150
Caprimulgus vociferus,Bryce National Park,80
Caprimulgus vociferus,Great Smoky Mountains National Park,60
Caprimulgus vociferus,Yellowstone National Park,252
Caprimulgus vociferus,Yosemite National Park,169
Capsella bursa-pastoris,Bryce National Park,91
Capsella bursa-pastoris,Great Smoky Mountains National Park,80
Capsella bursa-pastoris,Yellowstone National Park,280
Capsella bursa-pastoris,Yosemite National Park,138
Capsella rubella,Bryce National Park,108
Capsella rubella,Great Smoky Mountains National Park,102
Capsella rubella,Yellowstone National Park,271
Capsella rubella,Yosemite National Park,177
Caracara cheriway,Bryce National Park,60
Caracara cheriway,Great Smoky Mountains National Park,82
Caracara cheriway,Yellowstone National Park,280
Caracara cheriway,Yosemite National Park,180
Carassius auratus,Bryce National Park,146
Carassius auratus,Great Smoky Mountains National Park,44
Carassius auratus,Yellowstone National Park,253
Carassius auratus,Yosemite National Park,153
Cardamine angustata,Bryce National Park,93
Cardamine angustata,Great Smoky Mountains National Park,52
Cardamine angustata,Yellowstone National Park,244
Cardamine angustata,Yosemite National Park,144
Cardamine breweri var. breweri,Bryce National Park,106
Cardamine breweri var. breweri,Great Smoky Mountains National Park,50
Cardamine breweri var. breweri,Yellowstone National Park,236
Cardamine breweri var. breweri,Yosemite National Park,134
Cardamine bulbosa,Bryce National Park,65
Cardamine bulbosa,Great Smoky Mountains National Park,64
Cardamine bulbosa,Yellowstone National Park,248
Cardamine bulbosa,Yosemite National Park,186
Cardamine californica var. californica,Bryce National Park,117
Cardamine californica var. californica,Great Smoky Mountains National Park,85
Cardamine californica var. californica,Yellowstone National Park,247
Cardamine californica var. californica,Yosemite National Park,155
Cardamine clematitis,Bryce National Park,108
Cardamine clematitis,Great Smoky Mountains National Park,26
Cardamine clematitis,Yellowstone National Park,193
Cardamine clematitis,Yosemite National Park,126
Cardamine concatenata,Bryce National Park,107
Cardamine concatenata,Great Smoky Mountains National Park,62
Cardamine concatenata,Yellowstone National Park,245
Cardamine concatenata,Yosemite National Park,141
Cardamine diphylla,Bryce National Park,111
Cardamine diphylla,Great Smoky Mountains National Park,70
Cardamine diphylla,Yellowstone National Park,216
Cardamine diphylla,Yosemite National Park,119
Cardamine dissecta,Bryce National Park,83
Cardamine dissecta,Great Smoky Mountains National Park,100
Cardamine dissecta,Yellowstone National Park,232
Cardamine dissecta,Yosemite National Park,157
Cardamine flagellifera,Bryce National Park,88
Cardamine flagellifera,Great Smoky Mountains National Park,95
Cardamine flagellifera,Yellowstone National Park,240
Cardamine flagellifera,Yosemite National Park,163
Cardamine hirsuta,Bryce National Park,107
Cardamine hirsuta,Great Smoky Mountains National Park,99
Cardamine hirsuta,Yellowstone National Park,237
Cardamine hirsuta,Yosemite National Park,173
Cardamine oligosperma,Bryce National Park,134
Cardamine oligosperma,Great Smoky Mountains National Park,92
Cardamine oligosperma,Yellowstone National Park,252
Cardamine oligosperma,Yosemite National Park,154
Cardamine oligosperma var. oligosperma,Bryce National Park,99
Cardamine oligosperma var. oligosperma,Great Smoky Mountains National Park,88
Cardamine oligosperma var. oligosperma,Yellowstone National Park,251
Cardamine oligosperma var. oligosperma,Yosemite National Park,164
Cardamine pachystigma var. pachystigma,Bryce National Park,104
Cardamine pachystigma var. pachystigma,Great Smoky Mountains National Park,112
Cardamine pachystigma var. pachystigma,Yellowstone National Park,244
Cardamine pachystigma var. pachystigma,Yosemite National Park,171
Cardamine parviflora var. arenicola,Bryce National Park,117
Cardamine parviflora var. arenicola,Great Smoky Mountains National Park,63
Cardamine parviflora var. arenicola,Yellowstone National Park,258
Cardamine parviflora var. arenicola,Yosemite National Park,180
Cardamine pensylvanica,Bryce National Park,94
Cardamine pensylvanica,Great Smoky Mountains National Park,88
Cardamine pensylvanica,Yellowstone National Park,235
Cardamine pensylvanica,Yosemite National Park,164
Cardamine rotundifolia,Bryce National Park,103
Cardamine rotundifolia,Great Smoky Mountains National Park,111
Cardamine rotundifolia,Yellowstone National Park,265
Cardamine rotundifolia,Yosemite National Park,131
Cardaria chalapensis,Bryce National Park,71
Cardaria chalapensis,Great Smoky Mountains National Park,47
Cardaria chalapensis,Yellowstone National Park,262
Cardaria chalapensis,Yosemite National Park,184
Cardaria draba,Bryce National Park,62
Cardaria draba,Great Smoky Mountains National Park,61
Cardaria draba,Yellowstone National Park,267
Cardaria draba,Yosemite National Park,169
Cardaria pubescens,Bryce National Park,81
Cardaria pubescens,Great Smoky Mountains National Park,67
Cardaria pubescens,Yellowstone National Park,254
Cardaria pubescens,Yosemite National Park,135
Cardellina pusilla,Bryce National Park,74
Cardellina pusilla,Great Smoky Mountains National Park,62
Cardellina pusilla,Yellowstone National Park,240
Cardellina pusilla,Yosemite National Park,162
Cardinalis cardinalis,Bryce National Park,102
Cardinalis cardinalis,Great Smoky Mountains National Park,49
Cardinalis cardinalis,Yellowstone National Park,244
Cardinalis cardinalis,Yosemite National Park,190
Carduelis flammea,Bryce National Park,86
Carduelis flammea,Great Smoky Mountains National Park,77
Carduelis flammea,Yellowstone National Park,206
Carduelis flammea,Yosemite National Park,159
Carduelis pinus,Bryce National Park,113
Carduelis pinus,Great Smoky Mountains National Park,66
Carduelis pinus,Yellowstone National Park,212
Carduelis pinus,Yosemite National Park,157
Carduelis tristis,Bryce National Park,110
Carduelis tristis,Great Smoky Mountains National Park,85
Carduelis tristis,Yellowstone National Park,222
Carduelis tristis,Yosemite National Park,141
Carduus acanthoides,Bryce National Park,100
Carduus acanthoides,Great Smoky Mountains National Park,74
Carduus acanthoides,Yellowstone National Park,228
Carduus acanthoides,Yosemite National Park,156
Carduus nutans,Bryce National Park,83
Carduus nutans,Great Smoky Mountains National Park,66
Carduus nutans,Yellowstone National Park,271
Carduus nutans,Yosemite National Park,151
Carduus pycnocephalus,Bryce National Park,54
Carduus pycnocephalus,Great Smoky Mountains National Park,122
Carduus pycnocephalus,Yellowstone National Park,279
Carduus pycnocephalus,Yosemite National Park,138
Carex,Bryce National Park,80
Carex,Great Smoky Mountains National Park,66
Carex,Yellowstone National Park,246
Carex,Yosemite National Park,155
Carex abrupta,Bryce National Park,82
Carex abrupta,Great Smoky Mountains National Park,98
Carex abrupta,Yellowstone National Park,250
Carex abrupta,Yosemite National Park,176
Carex abscondita,Bryce National Park,91
Carex abscondita,Great Smoky Mountains National Park,60
Carex abscondita,Yellowstone National Park,212
Carex abscondita,Yosemite National Park,146
Carex aestivalis,Bryce National Park,115
Carex aestivalis,Great Smoky Mountains National Park,81
Carex aestivalis,Yellowstone National Park,224
Carex aestivalis,Yosemite National Park,189
Carex aggregata,Bryce National Park,114
Carex aggregata,Great Smoky Mountains National Park,78
Carex aggregata,Yellowstone National Park,279
Carex aggregata,Yosemite National Park,194
Carex albicans,Bryce National Park,144
Carex albicans,Great Smoky Mountains National Park,74
Carex albicans,Yellowstone National Park,240
Carex albicans,Yosemite National Park,148
Carex albicans var. albicans,Bryce National Park,67
Carex albicans var. albicans,Great Smoky Mountains National Park,87
Carex albicans var. albicans,Yellowstone National Park,213
Carex albicans var. albicans,Yosemite National Park,152
Carex albicans var. australis,Bryce National Park,131
Carex albicans var. australis,Great Smoky Mountains National Park,71
Carex albicans var. australis,Yellowstone National Park,222
Carex albicans var. australis,Yosemite National Park,136
Carex albicans var. emmonsii,Bryce National Park,69
Carex albicans var. emmonsii,Great Smoky Mountains National Park,47
Carex albicans var. emmonsii,Yellowstone National Park,259
Carex albicans var. emmonsii,Yosemite National Park,139
Carex albolutescens,Bryce National Park,141
Carex albolutescens,Great Smoky Mountains National Park,42
Carex albolutescens,Yellowstone National Park,237
Carex albolutescens,Yosemite National Park,153
Carex albonigra,Bryce National Park,110
Carex albonigra,Great Smoky Mountains National Park,108
Carex albonigra,Yellowstone National Park,254
Carex albonigra,Yosemite National Park,169
Carex albursina,Bryce National Park,90
Carex albursina,Great Smoky Mountains National Park,87
Carex albursina,Yellowstone National Park,227
Carex albursina,Yosemite National Park,175
Carex amphibola,Bryce National Park,81
Carex amphibola,Great Smoky Mountains National Park,75
Carex amphibola,Yellowstone National Park,250
Carex amphibola,Yosemite National Park,141
Carex amphibola var. rigida,Bryce National Park,109
Carex amphibola var. rigida,Great Smoky Mountains National Park,66
Carex amphibola var. rigida,Yellowstone National Park,255
Carex amphibola var. rigida,Yosemite National Park,171
Carex amphibola var. turgida,Bryce National Park,91
Carex amphibola var. turgida,Great Smoky Mountains National Park,74
Carex amphibola var. turgida,Yellowstone National Park,252
Carex amphibola var. turgida,Yosemite National Park,159
Carex amplectens,Bryce National Park,82
Carex amplectens,Great Smoky Mountains National Park,49
Carex amplectens,Yellowstone National Park,253
Carex amplectens,Yosemite National Park,147
Carex amplifolia,Bryce National Park,123
Carex amplifolia,Great Smoky Mountains National Park,98
Carex amplifolia,Yellowstone National Park,228
Carex amplifolia,Yosemite National Park,143
Carex angustata,Bryce National Park,76
Carex angustata,Great Smoky Mountains National Park,69
Carex angustata,Yellowstone National Park,221
Carex angustata,Yosemite National Park,167
Carex annectens,Bryce National Park,88
Carex annectens,Great Smoky Mountains National Park,77
Carex annectens,Yellowstone National Park,259
Carex annectens,Yosemite National Park,145
Carex appalachica,Bryce National Park,112
Carex appalachica,Great Smoky Mountains National Park,119
Carex appalachica,Yellowstone National Park,218
Carex appalachica,Yosemite National Park,183
Carex aquatilis,Bryce National Park,91
Carex aquatilis,Great Smoky Mountains National Park,86
Carex aquatilis,Yellowstone National Park,248
Carex aquatilis,Yosemite National Park,135
Carex aquatilis var. aquatilis,Bryce National Park,99
Carex aquatilis var. aquatilis,Great Smoky Mountains National Park,91
Carex aquatilis var. aquatilis,Yellowstone National Park,266
Carex aquatilis var. aquatilis,Yosemite National Park,173
Carex atherodes,Bryce National Park,96
Carex atherodes,Great Smoky Mountains National Park,67
Carex atherodes,Yellowstone National Park,240
Carex atherodes,Yosemite National Park,142
Carex athrostachya,Bryce National Park,88
Carex athrostachya,Great Smoky Mountains National Park,70
Carex athrostachya,Yellowstone National Park,248
Carex athrostachya,Yosemite National Park,162
Carex atlantica,Bryce National Park,109
Carex atlantica,Great Smoky Mountains National Park,78
Carex atlantica,Yellowstone National Park,249
Carex atlantica,Yosemite National Park,187
Carex atlantica ssp. atlantica,Bryce National Park,84
Carex atlantica ssp. atlantica,Great Smoky Mountains National Park,93
Carex atlantica ssp. atlantica,Yellowstone National Park,258
Carex atlantica ssp. atlantica,Yosemite National Park,172
Carex atlantica ssp. capillacea,Bryce National Park,84
Carex atlantica ssp. capillacea,Great Smoky Mountains National Park,72
Carex atlantica ssp. capillacea,Yellowstone National Park,230
Carex atlantica ssp. capillacea,Yosemite National Park,132
Carex aurea,Bryce National Park,70
Carex aurea,Great Smoky Mountains National Park,95
Carex aurea,Yellowstone National Park,245
Carex aurea,Yosemite National Park,152
Carex austrocaroliniana,Bryce National Park,109
Carex austrocaroliniana,Great Smoky Mountains National Park,109
Carex austrocaroliniana,Yellowstone National Park,225
Carex austrocaroliniana,Yosemite National Park,163
Carex backii,Bryce National Park,99
Carex backii,Great Smoky Mountains National Park,58
Carex backii,Yellowstone National Park,282
Carex backii,Yosemite National Park,135
Carex baileyi,Bryce National Park,90
Carex baileyi,Great Smoky Mountains National Park,70
Carex baileyi,Yellowstone National Park,247
Carex baileyi,Yosemite National Park,156
Carex barrattii,Bryce National Park,103
Carex barrattii,Great Smoky Mountains National Park,55
Carex barrattii,Yellowstone National Park,247
Carex barrattii,Yosemite National Park,116
Carex bebbii,Bryce National Park,102
Carex bebbii,Great Smoky Mountains National Park,57
Carex bebbii,Yellowstone National Park,247
Carex bebbii,Yosemite National Park,160
Carex biltmoreana,Bryce National Park,100
Carex biltmoreana,Great Smoky Mountains National Park,79
Carex biltmoreana,Yellowstone National Park,251
Carex biltmoreana,Yosemite National Park,103
Carex blanda,Bryce National Park,104
Carex blanda,Great Smoky Mountains National Park,76
Carex blanda,Yellowstone National Park,266
Carex blanda,Yosemite National Park,138
Carex bolanderi,Bryce National Park,119
Carex bolanderi,Great Smoky Mountains National Park,91
Carex bolanderi,Yellowstone National Park,244
Carex bolanderi,Yosemite National Park,152
Carex brainerdii,Bryce National Park,85
Carex brainerdii,Great Smoky Mountains National Park,85
Carex brainerdii,Yellowstone National Park,253
Carex brainerdii,Yosemite National Park,169
Carex brevior,Bryce National Park,111
Carex brevior,Great Smoky Mountains National Park,107
Carex brevior,Yellowstone National Park,240
Carex brevior,Yosemite National Park,182
Carex bromoides,Bryce National Park,139
Carex bromoides,Great Smoky Mountains National Park,75
Carex bromoides,Yellowstone National Park,251
Carex bromoides,Yosemite National Park,137
Carex brunnescens,Bryce National Park,105
Carex brunnescens,Great Smoky Mountains National Park,73
Carex brunnescens,Yellowstone National Park,240
Carex brunnescens,Yosemite National Park,95
Carex brunnescens ssp. brunnescens,Bryce National Park,74
Carex brunnescens ssp. brunnescens,Great Smoky Mountains National Park,56
Carex brunnescens ssp. brunnescens,Yellowstone National Park,280
Carex brunnescens ssp. brunnescens,Yosemite National Park,150
Carex brunnescens ssp. sphaerostachya,Bryce National Park,90
Carex brunnescens ssp. sphaerostachya,Great Smoky Mountains National Park,84
Carex brunnescens ssp. sphaerostachya,Yellowstone National Park,210
Carex brunnescens ssp. sphaerostachya,Yosemite National Park,179
Carex buxbaumii,Bryce National Park,87
Carex buxbaumii,Great Smoky Mountains National Park,90
Carex buxbaumii,Yellowstone National Park,244
Carex buxbaumii,Yosemite National Park,136
Carex canescens,Bryce National Park,90
Carex canescens,Great Smoky Mountains National Park,42
Carex canescens,Yellowstone National Park,258
Carex canescens,Yosemite National Park,122
Carex capillaris,Bryce National Park,96
Carex capillaris,Great Smoky Mountains National Park,84
Carex capillaris,Yellowstone National Park,246
Carex capillaris,Yosemite National Park,145
Carex capitata,Bryce National Park,103
Carex capitata,Great Smoky Mountains National Park,88
Carex capitata,Yellowstone National Park,247
Carex capitata,Yosemite National Park,156
Carex caroliniana,Bryce National Park,110
Carex caroliniana,Great Smoky Mountains National Park,63
Carex caroliniana,Yellowstone National Park,293
Carex caroliniana,Yosemite National Park,143
Carex cephalophora,Bryce National Park,88
Carex cephalophora,Great Smoky Mountains National Park,85
Carex cephalophora,Yellowstone National Park,260
Carex cephalophora,Yosemite National Park,183
Carex cherokeensis,Bryce National Park,119
Carex cherokeensis,Great Smoky Mountains National Park,39
Carex cherokeensis,Yellowstone National Park,291
Carex cherokeensis,Yosemite National Park,163
Carex communis,Bryce National Park,129
Carex communis,Great Smoky Mountains National Park,61
Carex communis,Yellowstone National Park,230
Carex communis,Yosemite National Park,170
Carex communis var. amplisquama,Bryce National Park,81
Carex communis var. amplisquama,Great Smoky Mountains National Park,89
Carex communis var. amplisquama,Yellowstone National Park,224
Carex communis var. amplisquama,Yosemite National Park,163
Carex communis var. communis,Bryce National Park,105
Carex communis var. communis,Great Smoky Mountains National Park,34
Carex communis var. communis,Yellowstone National Park,263
Carex communis var. communis,Yosemite National Park,157
Carex complanata,Bryce National Park,91
Carex complanata,Great Smoky Mountains National Park,34
Carex complanata,Yellowstone National Park,249
Carex complanata,Yosemite National Park,139
Carex concinna,Bryce National Park,74
Carex concinna,Great Smoky Mountains National Park,80
Carex concinna,Yellowstone National Park,236
Carex concinna,Yosemite National Park,173
Carex congdonii,Bryce National Park,70
Carex congdonii,Great Smoky Mountains National Park,82
Carex congdonii,Yellowstone National Park,206
Carex congdonii,Yosemite National Park,155
Carex conjuncta,Bryce National Park,117
Carex conjuncta,Great Smoky Mountains National Park,43
Carex conjuncta,Yellowstone National Park,267
Carex conjuncta,Yosemite National Park,162
Carex corrugata,Bryce National Park,101
Carex corrugata,Great Smoky Mountains National Park,77
Carex corrugata,Yellowstone National Park,249
Carex corrugata,Yosemite National Park,137
Carex crebriflora,Bryce National Park,99
Carex crebriflora,Great Smoky Mountains National Park,79
Carex crebriflora,Yellowstone National Park,263
Carex crebriflora,Yosemite National Park,181
Carex crinita var. crinita,Bryce National Park,71
Carex crinita var. crinita,Great Smoky Mountains National Park,80
Carex crinita var. crinita,Yellowstone National Park,261
Carex crinita var. crinita,Yosemite National Park,176
Carex cristatella,Bryce National Park,96
Carex cristatella,Great Smoky Mountains National Park,46
Carex cristatella,Yellowstone National Park,218
Carex cristatella,Yosemite National Park,170
Carex cumberlandensis,Bryce National Park,89
Carex cumberlandensis,Great Smoky Mountains National Park,97
Carex cumberlandensis,Yellowstone National Park,245
Carex cumberlandensis,Yosemite National Park,118
Carex cusickii,Bryce National Park,73
Carex cusickii,Great Smoky Mountains National Park,78
Carex cusickii,Yellowstone National Park,228
Carex cusickii,Yosemite National Park,187
Carex davyi,Bryce National Park,88
Carex davyi,Great Smoky Mountains National Park,67
Carex davyi,Yellowstone National Park,201
Carex davyi,Yosemite National Park,149
Carex debilis,Bryce National Park,105
Carex debilis,Great Smoky Mountains National Park,76
Carex debilis,Yellowstone National Park,212
Carex debilis,Yosemite National Park,121
Carex debilis var. debilis,Bryce National Park,105
Carex debilis var. debilis,Great Smoky Mountains National Park,90
Carex debilis var. debilis,Yellowstone National Park,207
Carex debilis var. debilis,Yosemite National Park,167
Carex debilis var. interjecta,Bryce National Park,116
Carex debilis var. interjecta,Great Smoky Mountains National Park,100
Carex debilis var. interjecta,Yellowstone National Park,239
Carex debilis var. interjecta,Yosemite National Park,129
Carex debilis var. pubera,Bryce National Park,103
Carex debilis var. pubera,Great Smoky Mountains National Park,99
Carex debilis var. pubera,Yellowstone National Park,232
Carex debilis var. pubera,Yosemite National Park,174
Carex debilis var. rudgei,Bryce National Park,110
Carex debilis var. rudgei,Great Smoky Mountains National Park,101
Carex debilis var. rudgei,Yellowstone National Park,257
Carex debilis var. rudgei,Yosemite National Park,171
Carex densa,Bryce National Park,146
Carex densa,Great Smoky Mountains National Park,82
Carex densa,Yellowstone National Park,268
Carex densa,Yosemite National Park,137
Carex diandra,Bryce National Park,71
Carex diandra,Great Smoky Mountains National Park,77
Carex diandra,Yellowstone National Park,222
Carex diandra,Yosemite National Park,130
Carex disperma,Bryce National Park,76
Carex disperma,Great Smoky Mountains National Park,75
Carex disperma,Yellowstone National Park,302
Carex disperma,Yosemite National Park,198
Carex douglasii,Bryce National Park,92
Carex douglasii,Great Smoky Mountains National Park,84
Carex douglasii,Yellowstone National Park,256
Carex douglasii,Yosemite National Park,161
Carex eburnea,Bryce National Park,69
Carex eburnea,Great Smoky Mountains National Park,70
Carex eburnea,Yellowstone National Park,251
Carex eburnea,Yosemite National Park,152
Carex echinata ssp. echinata,Bryce National Park,94
Carex echinata ssp. echinata,Great Smoky Mountains National Park,86
Carex echinata ssp. echinata,Yellowstone National Park,237
Carex echinata ssp. echinata,Yosemite National Park,143
Carex elynoides,Bryce National Park,94
Carex elynoides,Great Smoky Mountains National Park,93
Carex elynoides,Yellowstone National Park,259
Carex elynoides,Yosemite National Park,132
Carex festucacea,Bryce National Park,51
Carex festucacea,Great Smoky Mountains National Park,84
Carex festucacea,Yellowstone National Park,252
Carex festucacea,Yosemite National Park,129
Carex feta,Bryce National Park,103
Carex feta,Great Smoky Mountains National Park,55
Carex feta,Yellowstone National Park,224
Carex feta,Yosemite National Park,155
Carex filifolia,Bryce National Park,85
Carex filifolia,Great Smoky Mountains National Park,30
Carex filifolia,Yellowstone National Park,258
Carex filifolia,Yosemite National Park,153
Carex filifolia var. erostrata,Bryce National Park,136
Carex filifolia var. erostrata,Great Smoky Mountains National Park,69
Carex filifolia var. erostrata,Yellowstone National Park,231
Carex filifolia var. erostrata,Yosemite National Park,157
Carex fissuricola,Bryce National Park,121
Carex fissuricola,Great Smoky Mountains National Park,69
Carex fissuricola,Yellowstone National Park,232
Carex fissuricola,Yosemite National Park,146
Carex flaccosperma,Bryce National Park,84
Carex flaccosperma,Great Smoky Mountains National Park,101
Carex flaccosperma,Yellowstone National Park,229
Carex flaccosperma,Yosemite National Park,165
Carex flava,Bryce National Park,92
Carex flava,Great Smoky Mountains National Park,107
Carex flava,Yellowstone National Park,243
Carex flava,Yosemite National Park,179
Carex fracta,Bryce National Park,112
Carex fracta,Great Smoky Mountains National Park,85
Carex fracta,Yellowstone National Park,261
Carex fracta,Yosemite National Park,192
Carex frankii,Bryce National Park,132
Carex frankii,Great Smoky Mountains National Park,63
Carex frankii,Yellowstone National Park,254
Carex frankii,Yosemite National Park,146
Carex geyeri,Bryce National Park,107
Carex geyeri,Great Smoky Mountains National Park,78
Carex geyeri,Yellowstone National Park,281
Carex geyeri,Yosemite National Park,142
Carex gracilescens,Bryce National Park,95
Carex gracilescens,Great Smoky Mountains National Park,107
Carex gracilescens,Yellowstone National Park,252
Carex gracilescens,Yosemite National Park,159
Carex gracillima,Bryce National Park,122
Carex gracillima,Great Smoky Mountains National Park,87
Carex gracillima,Yellowstone National Park,240
Carex gracillima,Yosemite National Park,166
Carex granularis,Bryce National Park,85
Carex granularis,Great Smoky Mountains National Park,89
Carex granularis,Yellowstone National Park,282
Carex granularis,Yosemite National Park,134
Carex gravida var. lunelliana,Bryce National Park,84
Carex gravida var. lunelliana,Great Smoky Mountains National Park,52
Carex gravida var. lunelliana,Yellowstone National Park,266
Carex gravida var. lunelliana,Yosemite National Park,162
Carex grayi,Bryce National Park,137
Carex grayi,Great Smoky Mountains National Park,91
Carex grayi,Yellowstone National Park,251
Carex grayi,Yosemite National Park,136
Carex grisea,Bryce National Park,90
Carex grisea,Great Smoky Mountains National Park,62
Carex grisea,Yellowstone National Park,218
Carex grisea,Yosemite National Park,157
Carex gynandra,Bryce National Park,99
Carex gynandra,Great Smoky Mountains National Park,114
Carex gynandra,Yellowstone National Park,261
Carex gynandra,Yosemite National Park,162
Carex gynocrates,Bryce National Park,100
Carex gynocrates,Great Smoky Mountains National Park,59
Carex gynocrates,Yellowstone National Park,237
Carex gynocrates,Yosemite National Park,163
Carex hassei,Bryce National Park,106
Carex hassei,Great Smoky Mountains National Park,108
Carex hassei,Yellowstone National Park,248
