scientific_name,park_name,observations,category,common_names,conservation_status,primary_common_name
Desmognathus santeetlah,Great Smoky Mountains National Park,92,Amphibian,"Santeetlah Dusky Salamander, Santleetlah Dusky Salamander, Yellow Dusky Salamander",Not Evaluated,Santeetlah Dusky Salamander
Desmognathus santeetlah,Yellowstone National Park,254,Amphibian,"Santeetlah Dusky Salamander, Santleetlah Dusky Salamander, Yellow Dusky Salamander",Not Evaluated,Santeetlah Dusky Salamander
Desmognathus santeetlah,Yosemite National Park,184,Amphibian,"Santeetlah Dusky Salamander, Santleetlah Dusky Salamander, Yellow Dusky Salamander",Not Evaluated,Santeetlah Dusky Salamander
Desmognathus wrighti,Bryce National Park,95,Amphibian,Pigmy Salamander,Species of Concern,Pigmy Salamander
Desmognathus wrighti,Great Smoky Mountains National Park,85,Amphibian,Pigmy Salamander,Species of Concern,Pigmy Salamander
Desmognathus wrighti,Yellowstone National Park,201,Amphibian,Pigmy Salamander,Species of Concern,Pigmy Salamander
Desmognathus wrighti,Yosemite National Park,127,Amphibian,Pigmy Salamander,Species of Concern,Pigmy Salamander
Diadophis punctatus,Bryce National Park,76,Reptile,"Ringneck Snake, Ring-Necked Snake",Species of Concern,Ringneck Snake
Diadophis punctatus,Great Smoky Mountains National Park,49,Reptile,"Ringneck Snake, Ring-Necked Snake",Species of Concern,Ringneck Snake
Diadophis punctatus,Yellowstone National Park,245,Reptile,"Ringneck Snake, Ring-Necked Snake",Species of Concern,Ringneck Snake
Diadophis punctatus,Yosemite National Park,162,Reptile,"Ringneck Snake, Ring-Necked Snake",Species of Concern,Ringneck Snake
Diadophis punctatus edwardsii,Bryce National Park,129,Reptile,Northern Ringneck Snake,Not Evaluated,Northern Ringneck Snake
Diadophis punctatus edwardsii,Great Smoky Mountains National Park,61,Reptile,Northern Ringneck Snake,Not Evaluated,Northern Ringneck Snake
Diadophis punctatus edwardsii,Yellowstone National Park,255,Reptile,Northern Ringneck Snake,Not Evaluated,Northern Ringneck Snake
Diadophis punctatus edwardsii,Yosemite National Park,170,Reptile,Northern Ringneck Snake,Not Evaluated,Northern Ringneck Snake
Dianthus armeria,Bryce National Park,79,Vascular Plant,"Deptford Pink, Deptford-Pink",Not Evaluated,Deptford Pink
Dianthus armeria,Great Smoky Mountains National Park,80,Vascular Plant,"Deptford Pink, Deptford-Pink",Not Evaluated,Deptford Pink
Dianthus armeria,Yellowstone National Park,236,Vascular Plant,"Deptford Pink, Deptford-Pink",Not Evaluated,Deptford Pink
Dianthus armeria,Yosemite National Park,132,Vascular Plant,"Deptford Pink, Deptford-Pink",Not Evaluated,Deptford Pink
Dianthus barbatus,Bryce National Park,98,Vascular Plant,"Sweet William, Sweet-William",Not Evaluated,Sweet William
Dianthus barbatus,Great Smoky Mountains National Park,92,Vascular Plant,"Sweet William, Sweet-William",Not Evaluated,Sweet William
Dianthus barbatus,Yellowstone National Park,250,Vascular Plant,"Sweet William, Sweet-William",Not Evaluated,Sweet William
Dianthus barbatus,Yosemite National Park,130,Vascular Plant,"Sweet William, Sweet-William",Not Evaluated,Sweet William
Diarrhena americana,Bryce National Park,94,Vascular Plant,American Beakgrain,Not Evaluated,American Beakgrain
Diarrhena americana,Great Smoky Mountains National Park,83,Vascular Plant,American Beakgrain,Not Evaluated,American Beakgrain
Diarrhena americana,Yellowstone National Park,236,Vascular Plant,American Beakgrain,Not Evaluated,American Beakgrain
Diarrhena americana,Yosemite National Park,127,Vascular Plant,American Beakgrain,Not Evaluated,American Beakgrain
Dicentra canadensis,Bryce National Park,117,Vascular Plant,"Squirrel Corn, Squirrel-Corn",Not Evaluated,Squirrel Corn
Dicentra canadensis,Great Smoky Mountains National Park,74,Vascular Plant,"Squirrel Corn, Squirrel-Corn",Not Evaluated,Squirrel Corn
Dicentra canadensis,Yellowstone National Park,243,Vascular Plant,"Squirrel Corn, Squirrel-Corn",Not Evaluated,Squirrel Corn
Dicentra canadensis,Yosemite National Park,148,Vascular Plant,"Squirrel Corn, Squirrel-Corn",Not Evaluated,Squirrel Corn
Dicentra chrysantha,Bryce National Park,107,Vascular Plant,Golden Eardrops,Not Evaluated,Golden Eardrops
Dicentra chrysantha,Great Smoky Mountains National Park,98,Vascular Plant,Golden Eardrops,Not Evaluated,Golden Eardrops
Dicentra chrysantha,Yellowstone National Park,253,Vascular Plant,Golden Eardrops,Not Evaluated,Golden Eardrops
Dicentra chrysantha,Yosemite National Park,136,Vascular Plant,Golden Eardrops,Not Evaluated,Golden Eardrops
Dicentra cucullaria,Bryce National Park,102,Vascular Plant,"Dutchman's Breeches, Dutchman's Britches",Not Evaluated,Dutchman's Breeches
Dicentra cucullaria,Great Smoky Mountains National Park,79,Vascular Plant,"Dutchman's Breeches, Dutchman's Britches",Not Evaluated,Dutchman's Breeches
Dicentra cucullaria,Yellowstone National Park,252,Vascular Plant,"Dutchman's Breeches, Dutchman's Britches",Not Evaluated,Dutchman's Breeches
Dicentra cucullaria,Yosemite National Park,142,Vascular Plant,"Dutchman's Breeches, Dutchman's Britches",Not Evaluated,Dutchman's Breeches
Dicentra eximia,Bryce National Park,144,Vascular Plant,Bleeding Heart,Not Evaluated,Bleeding Heart
Dicentra eximia,Great Smoky Mountains National Park,114,Vascular Plant,Bleeding Heart,Not Evaluated,Bleeding Heart
Dicentra eximia,Yellowstone National Park,263,Vascular Plant,Bleeding Heart,Not Evaluated,Bleeding Heart
Dicentra eximia,Yosemite National Park,128,Vascular Plant,Bleeding Heart,Not Evaluated,Bleeding Heart
Dicentra formosa,Bryce National Park,97,Vascular Plant,Pacific Bleeding Heart,Not Evaluated,Pacific Bleeding Heart
Dicentra formosa,Great Smoky Mountains National Park,73,Vascular Plant,Pacific Bleeding Heart,Not Evaluated,Pacific Bleeding Heart
Dicentra formosa,Yellowstone National Park,248,Vascular Plant,Pacific Bleeding Heart,Not Evaluated,Pacific Bleeding Heart
Dicentra formosa,Yosemite National Park,99,Vascular Plant,Pacific Bleeding Heart,Not Evaluated,Pacific Bleeding Heart
Dicentra pauciflora,Bryce National Park,75,Vascular Plant,Shorthorn Steer's-Head,Not Evaluated,Shorthorn Steer's-Head
Dicentra pauciflora,Great Smoky Mountains National Park,45,Vascular Plant,Shorthorn Steer's-Head,Not Evaluated,Shorthorn Steer's-Head
Dicentra pauciflora,Yellowstone National Park,232,Vascular Plant,Shorthorn Steer's-Head,Not Evaluated,Shorthorn Steer's-Head
Dicentra pauciflora,Yosemite National Park,158,Vascular Plant,Shorthorn Steer's-Head,Not Evaluated,Shorthorn Steer's-Head
Dicentra uniflora,Bryce National Park,124,Vascular Plant,"Longhorn Steer's-Head, Steershead",Not Evaluated,Longhorn Steer's-Head
Dicentra uniflora,Great Smoky Mountains National Park,72,Vascular Plant,"Longhorn Steer's-Head, Steershead",Not Evaluated,Longhorn Steer's-Head
Dicentra uniflora,Yellowstone National Park,245,Vascular Plant,"Longhorn Steer's-Head, Steershead",Not Evaluated,Longhorn Steer's-Head
Dicentra uniflora,Yosemite National Park,119,Vascular Plant,"Longhorn Steer's-Head, Steershead",Not Evaluated,Longhorn Steer's-Head
Dichanthelium acuminatum,Bryce National Park,71,Vascular Plant,"Hotsprings Panicum, Hotsprings Rosette Grass, Tapered Rosette Grass",Not Evaluated,Hotsprings Panicum
Dichanthelium acuminatum,Great Smoky Mountains National Park,82,Vascular Plant,"Hotsprings Panicum, Hotsprings Rosette Grass, Tapered Rosette Grass",Not Evaluated,Hotsprings Panicum
Dichanthelium acuminatum,Yellowstone National Park,235,Vascular Plant,"Hotsprings Panicum, Hotsprings Rosette Grass, Tapered Rosette Grass",Not Evaluated,Hotsprings Panicum
Dichanthelium acuminatum,Yosemite National Park,188,Vascular Plant,"Hotsprings Panicum, Hotsprings Rosette Grass, Tapered Rosette Grass",Not Evaluated,Hotsprings Panicum
Dichanthelium acuminatum var. acuminatum,Bryce National Park,87,Vascular Plant,Tapered Rosette Grass,Species of Concern,Tapered Rosette Grass
Dichanthelium acuminatum var. acuminatum,Great Smoky Mountains National Park,62,Vascular Plant,Tapered Rosette Grass,Species of Concern,Tapered Rosette Grass
Dichanthelium acuminatum var. acuminatum,Yellowstone National Park,225,Vascular Plant,Tapered Rosette Grass,Species of Concern,Tapered Rosette Grass
Dichanthelium acuminatum var. acuminatum,Yosemite National Park,123,Vascular Plant,Tapered Rosette Grass,Species of Concern,Tapered Rosette Grass
Dichanthelium acuminatum var. fasciculatum,Bryce National Park,81,Vascular Plant,Woolly Panic Grass,Not Evaluated,Woolly Panic Grass
Dichanthelium acuminatum var. fasciculatum,Great Smoky Mountains National Park,88,Vascular Plant,Woolly Panic Grass,Not Evaluated,Woolly Panic Grass
Dichanthelium acuminatum var. fasciculatum,Yellowstone National Park,257,Vascular Plant,Woolly Panic Grass,Not Evaluated,Woolly Panic Grass
Dichanthelium acuminatum var. fasciculatum,Yosemite National Park,170,Vascular Plant,Woolly Panic Grass,Not Evaluated,Woolly Panic Grass
Dichanthelium acuminatum var. lindheimeri,Bryce National Park,98,Vascular Plant,Lindheimer Panicgrass,Not Evaluated,Lindheimer Panicgrass
Dichanthelium acuminatum var. lindheimeri,Great Smoky Mountains National Park,58,Vascular Plant,Lindheimer Panicgrass,Not Evaluated,Lindheimer Panicgrass
Dichanthelium acuminatum var. lindheimeri,Yellowstone National Park,259,Vascular Plant,Lindheimer Panicgrass,Not Evaluated,Lindheimer Panicgrass
Dichanthelium acuminatum var. lindheimeri,Yosemite National Park,135,Vascular Plant,Lindheimer Panicgrass,Not Evaluated,Lindheimer Panicgrass
Dichanthelium boscii,Bryce National Park,87,Vascular Plant,"Bosc's Witchgrass, Panic Grass",Not Evaluated,Bosc's Witchgrass
Dichanthelium boscii,Great Smoky Mountains National Park,53,Vascular Plant,"Bosc's Witchgrass, Panic Grass",Not Evaluated,Bosc's Witchgrass
Dichanthelium boscii,Yellowstone National Park,262,Vascular Plant,"Bosc's Witchgrass, Panic Grass",Not Evaluated,Bosc's Witchgrass
Dichanthelium boscii,Yosemite National Park,140,Vascular Plant,"Bosc's Witchgrass, Panic Grass",Not Evaluated,Bosc's Witchgrass
Dichanthelium clandestinum,Bryce National Park,75,Vascular Plant,"Deer-Tongue Witchgrass, Panic Grass",Not Evaluated,Deer-Tongue Witchgrass
Dichanthelium clandestinum,Great Smoky Mountains National Park,80,Vascular Plant,"Deer-Tongue Witchgrass, Panic Grass",Not Evaluated,Deer-Tongue Witchgrass
Dichanthelium clandestinum,Yellowstone National Park,249,Vascular Plant,"Deer-Tongue Witchgrass, Panic Grass",Not Evaluated,Deer-Tongue Witchgrass
Dichanthelium clandestinum,Yosemite National Park,159,Vascular Plant,"Deer-Tongue Witchgrass, Panic Grass",Not Evaluated,Deer-Tongue Witchgrass
Dichanthelium commutatum,Bryce National Park,72,Vascular Plant,Common Panic Grass,Not Evaluated,Common Panic Grass
Dichanthelium commutatum,Great Smoky Mountains National Park,88,Vascular Plant,Common Panic Grass,Not Evaluated,Common Panic Grass
Dichanthelium commutatum,Yellowstone National Park,230,Vascular Plant,Common Panic Grass,Not Evaluated,Common Panic Grass
Dichanthelium commutatum,Yosemite National Park,102,Vascular Plant,Common Panic Grass,Not Evaluated,Common Panic Grass
Dichanthelium depauperatum,Bryce National Park,80,Vascular Plant,"Green Panic-Grass, Panic Grass",Not Evaluated,Green Panic-Grass
Dichanthelium depauperatum,Great Smoky Mountains National Park,88,Vascular Plant,"Green Panic-Grass, Panic Grass",Not Evaluated,Green Panic-Grass
Dichanthelium depauperatum,Yellowstone National Park,255,Vascular Plant,"Green Panic-Grass, Panic Grass",Not Evaluated,Green Panic-Grass
Dichanthelium depauperatum,Yosemite National Park,162,Vascular Plant,"Green Panic-Grass, Panic Grass",Not Evaluated,Green Panic-Grass
Dichanthelium dichotomum var. dichotomum,Bryce National Park,105,Vascular Plant,Small Panic Grass,Not Evaluated,Small Panic Grass
Dichanthelium dichotomum var. dichotomum,Great Smoky Mountains National Park,131,Vascular Plant,Small Panic Grass,Not Evaluated,Small Panic Grass
Dichanthelium dichotomum var. dichotomum,Yellowstone National Park,242,Vascular Plant,Small Panic Grass,Not Evaluated,Small Panic Grass
Dichanthelium dichotomum var. dichotomum,Yosemite National Park,168,Vascular Plant,Small Panic Grass,Not Evaluated,Small Panic Grass
Dichanthelium dichotomum var. ensifolium,Bryce National Park,89,Vascular Plant,Cypress Panicgrass,Not Evaluated,Cypress Panicgrass
Dichanthelium dichotomum var. ensifolium,Great Smoky Mountains National Park,84,Vascular Plant,Cypress Panicgrass,Not Evaluated,Cypress Panicgrass
Dichanthelium dichotomum var. ensifolium,Yellowstone National Park,237,Vascular Plant,Cypress Panicgrass,Not Evaluated,Cypress Panicgrass
Dichanthelium dichotomum var. ensifolium,Yosemite National Park,159,Vascular Plant,Cypress Panicgrass,Not Evaluated,Cypress Panicgrass
Dichanthelium latifolium,Bryce National Park,89,Vascular Plant,Broad-Leaved Panic Grass,Not Evaluated,Broad-Leaved Panic Grass
Dichanthelium latifolium,Great Smoky Mountains National Park,88,Vascular Plant,Broad-Leaved Panic Grass,Not Evaluated,Broad-Leaved Panic Grass
Dichanthelium latifolium,Yellowstone National Park,242,Vascular Plant,Broad-Leaved Panic Grass,Not Evaluated,Broad-Leaved Panic Grass
Dichanthelium latifolium,Yosemite National Park,193,Vascular Plant,Broad-Leaved Panic Grass,Not Evaluated,Broad-Leaved Panic Grass
Dichanthelium laxiflorum,Bryce National Park,117,Vascular Plant,"Lax-Flower Witchgrass, Panic Grass",Not Evaluated,Lax-Flower Witchgrass
Dichanthelium laxiflorum,Great Smoky Mountains National Park,59,Vascular Plant,"Lax-Flower Witchgrass, Panic Grass",Not Evaluated,Lax-Flower Witchgrass
Dichanthelium laxiflorum,Yellowstone National Park,239,Vascular Plant,"Lax-Flower Witchgrass, Panic Grass",Not Evaluated,Lax-Flower Witchgrass
Dichanthelium laxiflorum,Yosemite National Park,156,Vascular Plant,"Lax-Flower Witchgrass, Panic Grass",Not Evaluated,Lax-Flower Witchgrass
Dichanthelium linearifolium,Bryce National Park,119,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium linearifolium,Great Smoky Mountains National Park,71,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium linearifolium,Yellowstone National Park,242,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium linearifolium,Yosemite National Park,147,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium longiligulatum,Bryce National Park,116,Vascular Plant,"Coastal-Plain Witchgrass, Long-Ligule Panic Grass",Not Evaluated,Coastal-Plain Witchgrass
Dichanthelium longiligulatum,Great Smoky Mountains National Park,76,Vascular Plant,"Coastal-Plain Witchgrass, Long-Ligule Panic Grass",Not Evaluated,Coastal-Plain Witchgrass
Dichanthelium longiligulatum,Yellowstone National Park,220,Vascular Plant,"Coastal-Plain Witchgrass, Long-Ligule Panic Grass",Not Evaluated,Coastal-Plain Witchgrass
Dichanthelium longiligulatum,Yosemite National Park,170,Vascular Plant,"Coastal-Plain Witchgrass, Long-Ligule Panic Grass",Not Evaluated,Coastal-Plain Witchgrass
Dichanthelium meridionale,Bryce National Park,100,Vascular Plant,Southern Panic Grass,Not Evaluated,Southern Panic Grass
Dichanthelium meridionale,Great Smoky Mountains National Park,101,Vascular Plant,Southern Panic Grass,Not Evaluated,Southern Panic Grass
Dichanthelium meridionale,Yellowstone National Park,226,Vascular Plant,Southern Panic Grass,Not Evaluated,Southern Panic Grass
Dichanthelium meridionale,Yosemite National Park,144,Vascular Plant,Southern Panic Grass,Not Evaluated,Southern Panic Grass
Dichanthelium sabulorum var. thinium,Bryce National Park,77,Vascular Plant,Small Panic Grass,Not Evaluated,Small Panic Grass
Dichanthelium sabulorum var. thinium,Great Smoky Mountains National Park,119,Vascular Plant,Small Panic Grass,Not Evaluated,Small Panic Grass
Dichanthelium sabulorum var. thinium,Yellowstone National Park,223,Vascular Plant,Small Panic Grass,Not Evaluated,Small Panic Grass
Dichanthelium sabulorum var. thinium,Yosemite National Park,139,Vascular Plant,Small Panic Grass,Not Evaluated,Small Panic Grass
Dichanthelium scabriusculum,Bryce National Park,100,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium scabriusculum,Great Smoky Mountains National Park,94,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium scabriusculum,Yellowstone National Park,257,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium scabriusculum,Yosemite National Park,155,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium scoparium,Bryce National Park,99,Vascular Plant,"Broom Panic Grass, Velvet Panic Grass",Not Evaluated,Broom Panic Grass
Dichanthelium scoparium,Great Smoky Mountains National Park,69,Vascular Plant,"Broom Panic Grass, Velvet Panic Grass",Not Evaluated,Broom Panic Grass
Dichanthelium scoparium,Yellowstone National Park,194,Vascular Plant,"Broom Panic Grass, Velvet Panic Grass",Not Evaluated,Broom Panic Grass
Dichanthelium scoparium,Yosemite National Park,171,Vascular Plant,"Broom Panic Grass, Velvet Panic Grass",Not Evaluated,Broom Panic Grass
Dichanthelium sphaerocarpon,Bryce National Park,102,Vascular Plant,Roundfruit Panic Grass,Not Evaluated,Roundfruit Panic Grass
Dichanthelium sphaerocarpon,Great Smoky Mountains National Park,71,Vascular Plant,Roundfruit Panic Grass,Not Evaluated,Roundfruit Panic Grass
Dichanthelium sphaerocarpon,Yellowstone National Park,234,Vascular Plant,Roundfruit Panic Grass,Not Evaluated,Roundfruit Panic Grass
Dichanthelium sphaerocarpon,Yosemite National Park,148,Vascular Plant,Roundfruit Panic Grass,Not Evaluated,Roundfruit Panic Grass
Dichanthelium sphaerocarpon var. isophyllum,Bryce National Park,116,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium sphaerocarpon var. isophyllum,Great Smoky Mountains National Park,88,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium sphaerocarpon var. isophyllum,Yellowstone National Park,259,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium sphaerocarpon var. isophyllum,Yosemite National Park,144,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium sphaerocarpon var. sphaerocarpon,Bryce National Park,106,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium sphaerocarpon var. sphaerocarpon,Great Smoky Mountains National Park,76,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium sphaerocarpon var. sphaerocarpon,Yellowstone National Park,236,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium sphaerocarpon var. sphaerocarpon,Yosemite National Park,167,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium villosissimum var. villosissimum,Bryce National Park,57,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium villosissimum var. villosissimum,Great Smoky Mountains National Park,71,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium villosissimum var. villosissimum,Yellowstone National Park,254,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichanthelium villosissimum var. villosissimum,Yosemite National Park,155,Vascular Plant,Panic Grass,Not Evaluated,Panic Grass
Dichelostemma capitatum ssp. capitatum,Bryce National Park,110,Vascular Plant,"Bluedick, Bluedicks",Not Evaluated,Bluedick
Dichelostemma capitatum ssp. capitatum,Great Smoky Mountains National Park,88,Vascular Plant,"Bluedick, Bluedicks",Not Evaluated,Bluedick
Dichelostemma capitatum ssp. capitatum,Yellowstone National Park,252,Vascular Plant,"Bluedick, Bluedicks",Not Evaluated,Bluedick
Dichelostemma capitatum ssp. capitatum,Yosemite National Park,140,Vascular Plant,"Bluedick, Bluedicks",Not Evaluated,Bluedick
Dichelostemma multiflorum,Bryce National Park,107,Vascular Plant,Roundtooth Snakelily,Not Evaluated,Roundtooth Snakelily
Dichelostemma multiflorum,Great Smoky Mountains National Park,112,Vascular Plant,Roundtooth Snakelily,Not Evaluated,Roundtooth Snakelily
Dichelostemma multiflorum,Yellowstone National Park,252,Vascular Plant,Roundtooth Snakelily,Not Evaluated,Roundtooth Snakelily
Dichelostemma multiflorum,Yosemite National Park,162,Vascular Plant,Roundtooth Snakelily,Not Evaluated,Roundtooth Snakelily
Dichelostemma volubile,Bryce National Park,116,Vascular Plant,Twining Snakelily,Not Evaluated,Twining Snakelily
Dichelostemma volubile,Great Smoky Mountains National Park,67,Vascular Plant,Twining Snakelily,Not Evaluated,Twining Snakelily
Dichelostemma volubile,Yellowstone National Park,206,Vascular Plant,Twining Snakelily,Not Evaluated,Twining Snakelily
Dichelostemma volubile,Yosemite National Park,127,Vascular Plant,Twining Snakelily,Not Evaluated,Twining Snakelily
Dichodontium pellucidum,Bryce National Park,90,Nonvascular Plant,A Moss,Not Evaluated,A Moss
Dichodontium pellucidum,Great Smoky Mountains National Park,87,Nonvascular Plant,A Moss,Not Evaluated,A Moss
Dichodontium pellucidum,Yellowstone National Park,266,Nonvascular Plant,A Moss,Not Evaluated,A Moss
Dichodontium pellucidum,Yosemite National Park,146,Nonvascular Plant,A Moss,Not Evaluated,A Moss
Dicranella heteromalla,Bryce National Park,97,Nonvascular Plant,Dicranella Moss,Not Evaluated,Dicranella Moss
Dicranella heteromalla,Great Smoky Mountains National Park,74,Nonvascular Plant,Dicranella Moss,Not Evaluated,Dicranella Moss
Dicranella heteromalla,Yellowstone National Park,229,Nonvascular Plant,Dicranella Moss,Not Evaluated,Dicranella Moss
Dicranella heteromalla,Yosemite National Park,145,Nonvascular Plant,Dicranella Moss,Not Evaluated,Dicranella Moss
Dicranella rufescens,Bryce National Park,59,Nonvascular Plant,Dicranella Moss,Not Evaluated,Dicranella Moss
Dicranella rufescens,Great Smoky Mountains National Park,78,Nonvascular Plant,Dicranella Moss,Not Evaluated,Dicranella Moss
Dicranella rufescens,Yellowstone National Park,255,Nonvascular Plant,Dicranella Moss,Not Evaluated,Dicranella Moss
Dicranella rufescens,Yosemite National Park,171,Nonvascular Plant,Dicranella Moss,Not Evaluated,Dicranella Moss
Dicranella varia,Bryce National Park,78,Nonvascular Plant,Dicranella Moss,Not Evaluated,Dicranella Moss
Dicranella varia,Great Smoky Mountains National Park,82,Nonvascular Plant,Dicranella Moss,Not Evaluated,Dicranella Moss
Dicranella varia,Yellowstone National Park,241,Nonvascular Plant,Dicranella Moss,Not Evaluated,Dicranella Moss
Dicranella varia,Yosemite National Park,141,Nonvascular Plant,Dicranella Moss,Not Evaluated,Dicranella Moss
Dicranodontium asperulum,Bryce National Park,104,Nonvascular Plant,Dicranodontium Moss,Not Evaluated,Dicranodontium Moss
Dicranodontium asperulum,Great Smoky Mountains National Park,64,Nonvascular Plant,Dicranodontium Moss,Not Evaluated,Dicranodontium Moss
Dicranodontium asperulum,Yellowstone National Park,279,Nonvascular Plant,Dicranodontium Moss,Not Evaluated,Dicranodontium Moss
Dicranodontium asperulum,Yosemite National Park,163,Nonvascular Plant,Dicranodontium Moss,Not Evaluated,Dicranodontium Moss
Dicranodontium denudatum,Bryce National Park,110,Nonvascular Plant,Denuded Dicranodontium Moss,Not Evaluated,Denuded Dicranodontium Moss
Dicranodontium denudatum,Great Smoky Mountains National Park,67,Nonvascular Plant,Denuded Dicranodontium Moss,Not Evaluated,Denuded Dicranodontium Moss
Dicranodontium denudatum,Yellowstone National Park,249,Nonvascular Plant,Denuded Dicranodontium Moss,Not Evaluated,Denuded Dicranodontium Moss
Dicranodontium denudatum,Yosemite National Park,179,Nonvascular Plant,Denuded Dicranodontium Moss,Not Evaluated,Denuded Dicranodontium Moss
Dicranum condensatum,Bryce National Park,83,Nonvascular Plant,Condensed Dicranum Moss,Not Evaluated,Condensed Dicranum Moss
Dicranum condensatum,Great Smoky Mountains National Park,119,Nonvascular Plant,Condensed Dicranum Moss,Not Evaluated,Condensed Dicranum Moss
Dicranum condensatum,Yellowstone National Park,235,Nonvascular Plant,Condensed Dicranum Moss,Not Evaluated,Condensed Dicranum Moss
Dicranum condensatum,Yosemite National Park,148,Nonvascular Plant,Condensed Dicranum Moss,Not Evaluated,Condensed Dicranum Moss
Dicranum flagellare,Bryce National Park,107,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum flagellare,Great Smoky Mountains National Park,96,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum flagellare,Yellowstone National Park,264,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum flagellare,Yosemite National Park,105,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum fulvum,Bryce National Park,91,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum fulvum,Great Smoky Mountains National Park,63,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum fulvum,Yellowstone National Park,267,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum fulvum,Yosemite National Park,123,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum fuscescens,Bryce National Park,100,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum fuscescens,Great Smoky Mountains National Park,97,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum fuscescens,Yellowstone National Park,227,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum fuscescens,Yosemite National Park,158,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum montanum,Bryce National Park,81,Nonvascular Plant,Montane Dicranum Moss,Not Evaluated,Montane Dicranum Moss
Dicranum montanum,Great Smoky Mountains National Park,58,Nonvascular Plant,Montane Dicranum Moss,Not Evaluated,Montane Dicranum Moss
Dicranum montanum,Yellowstone National Park,242,Nonvascular Plant,Montane Dicranum Moss,Not Evaluated,Montane Dicranum Moss
Dicranum montanum,Yosemite National Park,118,Nonvascular Plant,Montane Dicranum Moss,Not Evaluated,Montane Dicranum Moss
Dicranum polysetum,Bryce National Park,111,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum polysetum,Great Smoky Mountains National Park,98,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum polysetum,Yellowstone National Park,272,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum polysetum,Yosemite National Park,171,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum scoparium,Bryce National Park,115,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum scoparium,Great Smoky Mountains National Park,82,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum scoparium,Yellowstone National Park,249,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum scoparium,Yosemite National Park,174,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum spurium,Bryce National Park,106,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum spurium,Great Smoky Mountains National Park,47,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum spurium,Yellowstone National Park,248,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum spurium,Yosemite National Park,132,Nonvascular Plant,Dicranum Moss,Not Evaluated,Dicranum Moss
Dicranum undulatum,Bryce National Park,92,Nonvascular Plant,Bog Broom-Moss,Not Evaluated,Bog Broom-Moss
Dicranum undulatum,Great Smoky Mountains National Park,64,Nonvascular Plant,Bog Broom-Moss,Not Evaluated,Bog Broom-Moss
